u,v,e_type,ts,u_type,v_type,e_idx
22,1201,2,1673370436,1,3,1
22,2230,2,1673370436,1,3,2
22,1591,2,1673370436,1,3,3
22,2238,2,1673370436,1,3,4
43,101,2,1673370436,1,3,5
43,2092,2,1673370436,1,3,6
43,1515,2,1673370436,1,3,7
43,129,2,1673370436,1,3,8
43,835,2,1673370436,1,3,9
22,3044,2,1673370436,1,3,10
22,13004,1,1673373048,1,2,11
43,13004,0,1673373048,1,2,12
98,2619,2,1673374501,1,3,13
98,2704,2,1673374501,1,3,14
98,985,2,1673374501,1,3,15
98,573,2,1673374501,1,3,16
198,292,2,1673374501,1,3,17
198,1816,2,1673374501,1,3,18
198,880,2,1673374501,1,3,19
198,1890,2,1673374501,1,3,20
198,2665,2,1673374501,1,3,21
98,2565,2,1673374501,1,3,22
98,13007,1,1673376937,1,2,23
198,13007,0,1673376937,1,2,24
433,1739,2,1673378451,1,3,25
433,308,2,1673378451,1,3,26
433,145,2,1673378451,1,3,27
433,850,2,1673378451,1,3,28
433,2734,2,1673378451,1,3,29
57,2288,2,1673378451,1,3,30
57,469,2,1673378451,1,3,31
57,3045,2,1673378451,1,3,32
57,1238,2,1673378451,1,3,33
57,2121,2,1673378451,1,3,34
433,13010,0,1673380431,1,2,35
57,13010,1,1673380431,1,2,36
434,285,2,1673381921,1,3,37
250,2493,2,1673381921,1,3,38
250,2907,2,1673381921,1,3,39
250,2650,2,1673381921,1,3,40
250,50,2,1673381921,1,3,41
250,1199,2,1673381921,1,3,42
434,363,2,1673381921,1,3,43
434,2373,2,1673381921,1,3,44
434,1957,2,1673381921,1,3,45
434,1305,2,1673381921,1,3,46
250,13008,1,1673383808,1,2,47
434,13008,0,1673383808,1,2,48
350,2105,2,1673385181,1,3,49
350,1891,2,1673385181,1,3,50
350,3024,2,1673385181,1,3,51
483,1044,2,1673385181,1,3,52
483,779,2,1673385181,1,3,53
483,741,2,1673385181,1,3,54
483,2881,2,1673385181,1,3,55
483,735,2,1673385181,1,3,56
350,1910,2,1673385181,1,3,57
350,1427,2,1673385181,1,3,58
350,13011,0,1673387281,1,2,59
483,13011,1,1673387281,1,2,60
127,1691,2,1673572070,1,3,61
127,1521,2,1673572070,1,3,62
127,1376,2,1673572070,1,3,63
127,2128,2,1673572070,1,3,64
127,1013,2,1673572070,1,3,65
123,2463,2,1673572070,1,3,66
123,1452,2,1673572070,1,3,67
123,3020,2,1673572070,1,3,68
123,898,2,1673572070,1,3,69
123,1384,2,1673572070,1,3,70
123,8940,1,1673573760,1,2,71
127,8940,0,1673573760,1,2,72
421,2554,2,1673576076,1,3,73
421,1568,2,1673576076,1,3,74
178,2041,2,1673576076,1,3,75
178,270,2,1673576076,1,3,76
178,335,2,1673576076,1,3,77
421,3060,2,1673576076,1,3,78
178,1928,2,1673576076,1,3,79
421,1198,2,1673576076,1,3,80
178,2808,2,1673576076,1,3,81
421,939,2,1673576076,1,3,82
178,8941,0,1673577477,1,2,83
421,8941,1,1673577477,1,2,84
84,361,2,1673579025,1,3,85
84,2481,2,1673579025,1,3,86
213,2599,2,1673579025,1,3,87
213,2033,2,1673579025,1,3,88
213,1478,2,1673579025,1,3,89
213,2945,2,1673579025,1,3,90
84,1471,2,1673579025,1,3,91
84,2977,2,1673579025,1,3,92
84,694,2,1673579025,1,3,93
213,454,2,1673579025,1,3,94
213,8951,0,1673580791,1,2,95
84,8951,1,1673580791,1,2,96
29,1511,2,1673582931,1,3,97
29,1758,2,1673582931,1,3,98
144,2426,2,1673582931,1,3,99
29,2622,2,1673582931,1,3,100
29,1559,2,1673582931,1,3,101
144,153,2,1673582931,1,3,102
144,1420,2,1673582931,1,3,103
144,1976,2,1673582931,1,3,104
29,1792,2,1673582931,1,3,105
144,1011,2,1673582931,1,3,106
144,8952,1,1673584385,1,2,107
29,8952,0,1673584385,1,2,108
350,3024,2,1673629739,1,3,109
350,1427,2,1673629739,1,3,110
43,101,2,1673629739,1,3,111
43,2092,2,1673629739,1,3,112
43,1515,2,1673629739,1,3,113
