,0
oe:team:0008fb938a860fdc5ec05e26210ff59,0
oe:team:00139c5837e7a000b62cb9ed6f4f3c8,1
oe:team:001f05f3618c2ed84a6b43434753bd8,2
oe:team:005064b6157615d237ba20bcffe00f5,3
oe:team:0092987a7da75e9fd0cbf8110d10b76,4
oe:team:014165c3a9a1dc9e63e248ce83ca576,5
oe:team:01a3132448697cecc30364f52173670,6
oe:team:01a959b2a20ca77057e580ec051aa3e,7
oe:team:01c9a45038d103935dc69490914f530,8
oe:team:02008dfb4feddaf6583dd7116eb5180,9
oe:team:02040f0504a1cb0f0657964125e0ae2,10
oe:team:023ba1e4767910cd55b399cf9094b15,11
oe:team:023e1c0f9c1c213e48998e61fbe066c,12
oe:team:02838cf562dd82da8db95974cc13a65,13
oe:team:02cba6bad755f6f7a6aeca29e4690be,14
oe:team:02d08f1a8d1e1e84e6d828e1a8c0c14,15
oe:team:0327d25d005275cfaf3cdb62628d33f,16
oe:team:03625f7331ee82f52b8c79c576e23cd,17
oe:team:03a6df9b82af1a8fbb6e86aae9524ee,18
oe:team:03c4cd6bcb3f046a897dae021a02f83,19
oe:team:03d528093c4b8e18c718b206cd81f4b,20
oe:team:040dc048e75fcdf175aa7f8e204c9e6,21
oe:team:0410783728358f6e711de31a6f1e8f9,22
oe:team:0444a233369afe0d17d6b8bafc147a4,23
oe:team:044fc7121d8197a6da31b7e743ca6f8,24
oe:team:048e91c09583c84485494a087471c3f,25
oe:team:04b0bb961538735de30f92ad6e7cc60,26
oe:team:04bb54d81b8d6daaaf0eee289e9eb03,27
oe:team:0504def546c1100b7308b2e76dcbbab,28
oe:team:050760fca0033774e06c7cb44de8802,29
oe:team:0520f3fedc9144bc9c62fadd5fd0568,30
oe:team:056c3140a119e44a03d462e2c832f27,31
oe:team:05825167aedac3dc1e6f72133f52604,32
oe:team:0598edad868785a36f966f60d2aae01,33
oe:team:05bd29b524f0851d42e7902d6af59bf,34
oe:team:05d26e7d7c53744b903ae1f6f8a8c7e,35
oe:team:05e27fbd83768ba717ef966c8824e66,36
oe:team:06554c70cfe8a6be14b004b3c18abe6,37
oe:team:06c05593565f4de85458b5c555164e1,38
oe:team:06ff5564847128343223be7514c8193,39
oe:team:073fa031df5e0204a637d33a30bfaea,40
oe:team:0775b07e7e528fc47bd319f5cab14b4,41
oe:team:07837648624136cfa442f4d3bf29de0,42
oe:team:07de50aa2d5a5cc1855309ea3eea1ac,43
oe:team:07e855b80cb18bda1a6c46470f0ca20,44
oe:team:07f268d6bcf7dfa246348135f512fe2,45
oe:team:07f47f630315f524f0179378f356b77,46
oe:team:07fbe02a89664dfcfbe8f825f0afca6,47
oe:team:0820c44004d536353d0d2320eb398d8,48
oe:team:08775d48df080a9fd0661fcb1441604,49
oe:team:08ca49e0997f5e1e0d71001f4bc13fd,50
oe:team:08d1c79edd0b1acd40f6c9307a79e79,51
oe:team:0916b3c324c8577b0c6344f3e067f62,52
oe:team:0957b09f054bf983fcc61228d919bef,53
oe:team:096d11bb39c67344ba0d303a4505e81,54
oe:team:097dbc6e895dcb0a501ce84f8743d1a,55
oe:team:0981919f271bab5684bad9d851b2985,56
oe:team:0a3b94b6b532be6a4fb62b5cc4f8a5f,57
oe:team:0a9aa50beea19fcbc6b939fe6b94f08,58
oe:team:0ade5e44c23039bca133eee58ec1b83,59
oe:team:0b27fc98592297c4441bce44760a642,60
oe:team:0b63f14fd7de22a26869bb1c76f87fc,61
oe:team:0b65555ba9e97910fc1e7264a99fa24,62
oe:team:0b6e76188d250e0d86e58ef1182a53a,63
oe:team:0bad133adf0b0d75b82191b60e3d624,64
oe:team:0be4da26bf3e925132f60c3d537fdab,65
oe:team:0c696978201a689569c69659bad5732,66
oe:team:0c8c7ae7026874903b3d5407b112e8e,67
oe:team:0cb38b413d6ae4e08c029369dcd352f,68
oe:team:0cca6f834d9b13e58facbfe117a4fce,69
oe:team:0ce92abf77546dafee13c1c3f37c25e,70
oe:team:0ceefa1371cd26b24911fa299937e9e,71
oe:team:0d5a4462c2d79495e2e236cdaf8a360,72
oe:team:0d70a380fe641d8206c6d43c185b9c2,73
oe:team:0d9f89772c3f008ae34e4f597253242,74
oe:team:0db4f03569e38f6ff1c09aa1907ca6d,75
oe:team:0dbb780176ecad18f17292d1f5653af,76
oe:team:0de5bc0ac90e504b773c2d2d09edc81,77
oe:team:0dfe299ce6b2991300f9730a4d670b3,78
oe:team:0e20c6cd9c6f05c1bcf91e0b5ef3697,79
oe:team:0e27d54d74f138c822f16d1f9df4939,80
oe:team:0e29f789cf5b2a1c46e5d092c46e69d,81
oe:team:0e4c4b77383d06c59013c463dc425b5,82
oe:team:0e99b04d101a93f6de17a4bf5de8b70,83
oe:team:0ecfc77c8f5a9c17c1cea3296163dca,84
oe:team:0edc9f071bd123368afdc0c53a3db20,85
oe:team:0efbfba0e842adbd975dbebaa4abacb,86
oe:team:0f0f407ca567fc73cc83d541ef45731,87
oe:team:0f1c217161a1486fff3abf544df2986,88
oe:team:0f426d6eead4f6ea73a5529581b61ad,89
oe:team:0f4b99bef6a148e203e725bef554929,90
oe:team:0f7a1cc8446196c969e9ed7ab180e7d,91
oe:team:0f81531c6eb6a2aa8fd428b19acabd0,92
oe:team:0f915796a913d5a8fd01f830d5ad3e2,93
oe:team:0ffca231017728de3912ab5e474d12c,94
oe:team:101f8589e58c724c1dcd5a9c1555277,95
oe:team:108d8dd5293715c077fd7e33643028c,96
oe:team:10b48447bc74f36daefaf538256e696,97
oe:team:10bfef11013e97d8caf67bac2bd8fb4,98
oe:team:10ce81cc4b8f1ade3f8d3aab9866467,99
oe:team:10fcef4da0f964b6238c2abf5bdca07,100
oe:team:10fe85810efd60943daa38355eb6054,101
oe:team:1129ec2d3533aa87e078d02ebc0d8d3,102
oe:team:11316fd322539b98a9a695912841fac,103
oe:team:1158ec5b08f516ca81868bc48293989,104
oe:team:11906fcdcf6e25e9a5e85b782beb1ba,105
oe:team:11b12070e876658f576ec41209f10aa,106
oe:team:11d06b1fb262e1879c0df46fa28499c,107
oe:team:11ebb3b1152f4086e0bb3345fb91ee4,108
oe:team:11f5f2c70a8b02dc6d17fac94c126c9,109
oe:team:120458344421ad48ba0be59fbe15dd1,110
oe:team:1210047b1f9e343b6a2f0e48358733c,111
oe:team:124467d9a6d8086151a0b4cac721066,112
oe:team:125fc4d6b0dc1b21596f4f06a207d62,113
oe:team:126d75f320051aed7d29f443a90f7a2,114
oe:team:1277180e600ca5f219e91d672a69f7f,115
oe:team:127cb9411cd6e3788e2a4193a6e8850,116
oe:team:1285e1c04d54de96502f12da4d49458,117
oe:team:128d0cec08b877912eb91f94a1f3295,118
oe:team:12af596813af42a79d1e34b8800d251,119
oe:team:12dec4e1f7ec620651b2b95c440ffac,120
oe:team:12eb870ed3419407c763c34f905e65a,121
oe:team:12f0138300dd741199ea6ad1666531c,122
oe:team:1301a0d2c6221cc9417ff939fc4d5a0,123
oe:team:1310f2e190ddbb40c0462fb57084428,124
oe:team:134d1af7b5cafdd70f8f1ecdb2306c7,125
oe:team:1360b56735647c1a908fc807aa8f09c,126
oe:team:13697a0e9b7df2bbb787cca7b9fd140,127
oe:team:13909e6689e1df762fd22aee7999e77,128
oe:team:13caf544e9d552f669c15d697f5e6b9,129
oe:team:13cc0048846a92bc721899580fe666c,130
oe:team:1403f42870de19dee6af045d2f65e29,131
oe:team:14098ac4d339fe1a0f13e74109a493c,132
oe:team:142fd4ee188f60dc0549cdca7610e55,133
oe:team:1446c057b4ff1cc83d7126382d86a9a,134
oe:team:144fd27a5b974d216d3e2dd26283bb5,135
oe:team:1486bbe432b1153d9a83ff6e75d6c90,136
oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,137
oe:team:14b278a98a1b9727523f77e7d6c759e,138
oe:team:14df65afe42f4703832beda2efeba28,139
oe:team:14ef7370c4cbc9bc08a771e3f7cbb4d,140
oe:team:150ed90e9ca3262dbe6f3253b42ebb7,141
oe:team:1529e8ab605ab3c1492f3b83d5c384d,142
oe:team:154210b19b5b63e6ca6145fe9917904,143
oe:team:15842ce075edd560e96177e2919be83,144
oe:team:158e31c37dbe9830ecca9741528f948,145
oe:team:15cd04e605d88070159951f2801fa82,146
oe:team:15ee27398a7075e6d267578bcf29e9f,147
oe:team:1638ee8ffc49cb9058500c4fffaeb97,148
oe:team:16467fb3050a31b2b27672467beb1a8,149
oe:team:1664f819c4a19a12d748a78a1ca0d7d,150
oe:team:169482d39d38b4aeff05db79208759f,151
oe:team:16f72e69fc7d2d27c151024912a6497,152
oe:team:16fbfa0b9d8a6aaa7ea303ac6d70669,153
oe:team:1704188dc8a75f5d0c78f344b5b9e9c,154
oe:team:17510332b3aaea6f1e10ab3b091b54d,155
oe:team:178e4603342985e4154647761633799,156
oe:team:17b1cb79fe8d299f0eaed063132fdff,157
oe:team:17f42f64501a18c03627a58357acbe4,158
oe:team:17fa6b1358f7feeb5a68bbf5cd3d0d6,159
oe:team:1814e10e29c1ebec936f15aa87797bd,160
oe:team:186ab4e0a1d44a51c426ed35af560f2,161
oe:team:18f958181ee7b75ce7aaaf299a311df,162
oe:team:195cd5e125970a033b3b79e304bf85c,163
oe:team:1961f0a198997edc84b41b7da7f643d,164
oe:team:197be2494181ca61af31737a390e397,165
oe:team:1983b6e9dc5d2b7538f8787448dd5d7,166
oe:team:199301cdad60fad3c201615b42aab67,167
oe:team:199c31b0e7e7a1940be7eb7e4aa53ec,168
oe:team:19d3605cf0a349ebec4b09e18374d67,169
oe:team:19de4148001c056cbc5804dc8636190,170
oe:team:1a0fed546500648f74f5069d63edf24,171
oe:team:1a318187a04356ffbb9216db95d4fbf,172
oe:team:1a9887b52c7cb6550d325ede8244a12,173
oe:team:1aa8a23eb9d06ab039f112088bc905c,174
oe:team:1ab54595dac94e054c4f3831f7ccb98,175
oe:team:1ac4df9688139a3995d92043a9aedf9,176
oe:team:1b18017e07a881162b1363034370b6f,177
oe:team:1b9ffe897d79c81c5deeca9e3c78f69,178
oe:team:1bcba9d314932379a955b3de9e8654d,179
oe:team:1bf134b02c87e9c980a67114a600a43,180
oe:team:1c1e5c3fdd3090ed2162e9a17bcd4ab,181
oe:team:1c282536c5574499989be3aa8ae0600,182
oe:team:1c81857b6ce6a3c1cd9220fd97e077f,183
oe:team:1c89da29fc415ae539fb8299388b9ba,184
oe:team:1d0f5e58f39613aff1a3dd4ed85933e,185
oe:team:1d16ed15056eb83a39b0863b72cf2ad,186
oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,187
oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,188
oe:team:1d93dd0f3753b0af50c9f8307496922,189
oe:team:1db6b0bedabd9183def8928e75633c6,190
oe:team:1dc6411295a36bd29c29b1096ba859d,191
oe:team:1e3081dd5c7fccb47f2b0cec82117bd,192
oe:team:1e43deb1f368f7574f37388e87db369,193
oe:team:1e6c5e927a3371615a4b52d6b845d17,194
oe:team:1e6cd215a738a06f6bde5fc43618218,195
oe:team:1e8ab310a44559502177379445ad12d,196
oe:team:1e9864f507023ee6bf40ee13c457351,197
oe:team:1ea33e423fda711df3254bb510eac95,198
oe:team:1ed1d3a123c9cb9961e9dada9786646,199
oe:team:1f2037e30f42a254f0d6ac9df9fad9a,200
oe:team:1f2a633ac1baa6782d705b479d0add9,201
oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,202
oe:team:1fa8035bcf1ab3abbbfd0eecfea8958,203
oe:team:1fa8dca98f8e2e8b4077b5622355c61,204
oe:team:1fcd541d3a51d70860c46eaae858ba8,205
oe:team:1ff3f5c94edd806e1fed4105fc48995,206
oe:team:2013af66afe8640d60c0c92073714bb,207
oe:team:202701554502f458c89ef1fab2781c9,208
oe:team:20f564506ae2ad8341b64b17965d360,209
oe:team:20ff34add9114f12f05bf760fe95004,210
oe:team:21060505f3a0a34bbcb8f538cf0e231,211
oe:team:215b3bc4217842708191cc9be161132,212
oe:team:216b87f7739fab7fa9177e7e01c2c7b,213
oe:team:21903b00a2d96c19ca87cb0e4b28527,214
oe:team:21d5096acdfc62efed68418399ca291,215
oe:team:22042a8a81add8ab741dcfc6c8985ca,216
oe:team:221e32a1601f8166140823cfac5fc71,217
oe:team:2261bbacd055e64d38e4c43a2bfcbd9,218
oe:team:22cc1ec02bc49515b9e4a5f6318149a,219
oe:team:22d1a6ffc0fa291465b2fa0ece24b75,220
oe:team:22e3ecae7af241c9c5be021c855885e,221
oe:team:22e85b1589714de8f4aa211025bf1fb,222
oe:team:2360b31c1628a21ddd778891dabac91,223
oe:team:2362f7eb0a254f874a322769e206a01,224
oe:team:2375bf67ae2a232830947aaba2a6be7,225
oe:team:237bdad69af2aa4bfd669ae26456cd1,226
oe:team:23dda07cf3e2a786d6b300cc78a1cf6,227
oe:team:23f2bd279251a0ee0f8c762ee3b0700,228
oe:team:2419c102f4ed9d9a100f80381aa8923,229
oe:team:242740d647af081075d8ad7863ccb4a,230
oe:team:24542d9de62f5d78a1e9977701cda29,231
oe:team:246827ba8505ab1bac1083d093120bc,232
oe:team:24c803324b67186eda323d3f077ce50,233
oe:team:24d4cca360ddad2c3eb478dce8a1a2e,234
oe:team:24de8726f1ed4baa0bf7c946640b920,235
oe:team:2506f4369f41031c5ae85640da9f749,236
oe:team:2540b4a0b7b84883270e4bee84cdc32,237
oe:team:25829f8f0cea05880678526dc19a8df,238
oe:team:25b0751ae06b76d14830ecef0a11715,239
oe:team:25d1db96f2b7d3a30e4a12329939220,240
oe:team:261717b9c2bb2e79e8ae53253d69768,241
oe:team:266c3f54200781c862b534392cf53f9,242
oe:team:266f28c813f67d6f43897ef089f6cf6,243
oe:team:26a71672e8a167cb76a4d3c53814920,244
oe:team:26ff1a9f7fb8e976fbdcc5d2a8ac397,245
oe:team:26ffec0fda09c861a2a3828867f7c2d,246
oe:team:2706074ae324e2df1c6cf90ce644ba0,247
oe:team:272ff09ae291fdf2d216c02a428e1e1,248
oe:team:274c62a6d7e34e0e66e5f267a39d5f7,249
oe:team:279461902267b4990dbdbb4aebccef9,250
oe:team:2799e04c7212d3c262467ef25427eda,251
oe:team:279a86f948fa264006bc8f4e67e5f93,252
oe:team:27a248dbf699599e2a7c30ba9c22e89,253
oe:team:27b676a1e4c8cf0fa2eb95072cf19a6,254
oe:team:27b893ea8ff7bd787106a1f3de4738d,255
oe:team:27bcb7f4062fa834d3aa48013a24549,256
oe:team:27f9a0f6d7bc8ab1e40475cd66a294b,257
oe:team:2821021a236f205783e02a657158e0b,258
oe:team:28428f3022fc1ea52264b35912093dc,259
oe:team:2844099587c35cb0e600ebb009c291a,260
oe:team:2857b1b013cbea649c5c610a18efa44,261
oe:team:2858f1ddd417c4a1e20a1a600126c67,262
