,long_team,team_num,teamname
0,oe:team:0008fb938a860fdc5ec05e26210ff59,0,Flash Husky
1,oe:team:00139c5837e7a000b62cb9ed6f4f3c8,1,AKIHABARA ENCOUNT
17,oe:team:001f05f3618c2ed84a6b43434753bd8,2,No Name
18,oe:team:005064b6157615d237ba20bcffe00f5,3,Team Coachify
24,oe:team:0092987a7da75e9fd0cbf8110d10b76,4,West Point Esports
32,oe:team:014165c3a9a1dc9e63e248ce83ca576,5,eStar Young
99,oe:team:01a3132448697cecc30364f52173670,6,Team Fish Taco
178,oe:team:01a959b2a20ca77057e580ec051aa3e,7,KRC Genk Esports
271,oe:team:01c9a45038d103935dc69490914f530,8,Invictus Gaming Young
489,oe:team:02008dfb4feddaf6583dd7116eb5180,9,Life Support
505,oe:team:02040f0504a1cb0f0657964125e0ae2,10,Tiktok Tony Top
513,oe:team:023ba1e4767910cd55b399cf9094b15,11,Team Regicide
531,oe:team:023e1c0f9c1c213e48998e61fbe066c,12,Mount Olympus
533,oe:team:02838cf562dd82da8db95974cc13a65,13,Vorax Liberty Academy
557,oe:team:02cba6bad755f6f7a6aeca29e4690be,14,Ion Squad Academy
570,oe:team:02d08f1a8d1e1e84e6d828e1a8c0c14,15,Lynx
572,oe:team:0327d25d005275cfaf3cdb62628d33f,16,GC Busan Rising Star
591,oe:team:03625f7331ee82f52b8c79c576e23cd,17,Original Gaming
603,oe:team:03a6df9b82af1a8fbb6e86aae9524ee,18,Winston King of Amateur
604,oe:team:03c4cd6bcb3f046a897dae021a02f83,19,Medieval Riga
615,oe:team:03d528093c4b8e18c718b206cd81f4b,20,Fiction eSports
616,oe:team:040dc048e75fcdf175aa7f8e204c9e6,21,OP innogy eSport
638,oe:team:0410783728358f6e711de31a6f1e8f9,22,Kaufland Hangry Knights
644,oe:team:0444a233369afe0d17d6b8bafc147a4,23,River Plate Gaming
727,oe:team:044fc7121d8197a6da31b7e743ca6f8,24,LMQ
757,oe:team:048e91c09583c84485494a087471c3f,25,CCG Esports
766,oe:team:04b0bb961538735de30f92ad6e7cc60,26,Fox Gaming
780,oe:team:04bb54d81b8d6daaaf0eee289e9eb03,27,Myth Esports
794,oe:team:0504def546c1100b7308b2e76dcbbab,28,ThunderBot SPARTA
798,oe:team:050760fca0033774e06c7cb44de8802,29,Lucent Esports
816,oe:team:0520f3fedc9144bc9c62fadd5fd0568,30,Native Gaming
828,oe:team:056c3140a119e44a03d462e2c832f27,31,EDward Gaming
1187,oe:team:05825167aedac3dc1e6f72133f52604,32,CERBERUS Esports
1381,oe:team:0598edad868785a36f966f60d2aae01,33,Cidade Curiosa Esports
1389,oe:team:05bd29b524f0851d42e7902d6af59bf,34,Alliance
1420,oe:team:05d26e7d7c53744b903ae1f6f8a8c7e,35,Resolve
1458,oe:team:05e27fbd83768ba717ef966c8824e66,36,Rebels Anarchy
1487,oe:team:06554c70cfe8a6be14b004b3c18abe6,37,Entropiq
1560,oe:team:06c05593565f4de85458b5c555164e1,38,Burning Core Academy
1574,oe:team:06ff5564847128343223be7514c8193,39,XDG Gaming
1580,oe:team:073fa031df5e0204a637d33a30bfaea,40,Hydras Esport
1584,oe:team:0775b07e7e528fc47bd319f5cab14b4,41,Gaming Gaming
1632,oe:team:07837648624136cfa442f4d3bf29de0,42,Boavista FC
1723,oe:team:07de50aa2d5a5cc1855309ea3eea1ac,43,Team MCES Academy
1727,oe:team:07e855b80cb18bda1a6c46470f0ca20,44,Falkol
1762,oe:team:07f268d6bcf7dfa246348135f512fe2,45,Hafnet eSports
1854,oe:team:07f47f630315f524f0179378f356b77,46,Abyss Academy
1864,oe:team:07fbe02a89664dfcfbe8f825f0afca6,47,No Name
1865,oe:team:0820c44004d536353d0d2320eb398d8,48,Ex Nihilo
1872,oe:team:08775d48df080a9fd0661fcb1441604,49,Team Kinguin
1884,oe:team:08ca49e0997f5e1e0d71001f4bc13fd,50,Aris Esports
1893,oe:team:08d1c79edd0b1acd40f6c9307a79e79,51,Dragons E.C.
1907,oe:team:0916b3c324c8577b0c6344f3e067f62,52,CTBC Flying Oyster
1986,oe:team:0957b09f054bf983fcc61228d919bef,53,Leões Porto Salvo Esports
1992,oe:team:096d11bb39c67344ba0d303a4505e81,54,Newstar
2049,oe:team:097dbc6e895dcb0a501ce84f8743d1a,55,Zenigma Solar
2063,oe:team:0981919f271bab5684bad9d851b2985,56,Tricksters
2065,oe:team:0a3b94b6b532be6a4fb62b5cc4f8a5f,57,Cloud9 Challengers
2092,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,58,Team Aze
2192,oe:team:0ade5e44c23039bca133eee58ec1b83,59,Klanik Esport
2220,oe:team:0b27fc98592297c4441bce44760a642,60,Team Bliss
2253,oe:team:0b63f14fd7de22a26869bb1c76f87fc,61,G-Rex
2339,oe:team:0b65555ba9e97910fc1e7264a99fa24,62,Kwangdong Freecs
2745,oe:team:0b6e76188d250e0d86e58ef1182a53a,63,PRO42
2750,oe:team:0bad133adf0b0d75b82191b60e3d624,64,NaJin e-mFire
2790,oe:team:0be4da26bf3e925132f60c3d537fdab,65,Submarino Stars
2795,oe:team:0c696978201a689569c69659bad5732,66,Fugitive Gaming
2796,oe:team:0c8c7ae7026874903b3d5407b112e8e,67,SCARZ Burning Core
2805,oe:team:0cb38b413d6ae4e08c029369dcd352f,68,Dropz Esports
2812,oe:team:0cca6f834d9b13e58facbfe117a4fce,69,STOPWATCH eSports
2844,oe:team:0ce92abf77546dafee13c1c3f37c25e,70,Spear Gaming
2913,oe:team:0ceefa1371cd26b24911fa299937e9e,71,Cloud9 Amateur
2970,oe:team:0d5a4462c2d79495e2e236cdaf8a360,72,Elements Pro Gaming
3031,oe:team:0d70a380fe641d8206c6d43c185b9c2,73,Osaka
3055,oe:team:0d9f89772c3f008ae34e4f597253242,74,Dire Cubs
3081,oe:team:0db4f03569e38f6ff1c09aa1907ca6d,75,Area of Effect Randoms
3118,oe:team:0dbb780176ecad18f17292d1f5653af,76,Dignitas
3328,oe:team:0de5bc0ac90e504b773c2d2d09edc81,77,Liberty Academy
3369,oe:team:0dfe299ce6b2991300f9730a4d670b3,78,Emissary Esports
3375,oe:team:0e20c6cd9c6f05c1bcf91e0b5ef3697,79,Wichita Wolves
3391,oe:team:0e27d54d74f138c822f16d1f9df4939,80,Miners Academy
3401,oe:team:0e29f789cf5b2a1c46e5d092c46e69d,81,No Name
3402,oe:team:0e4c4b77383d06c59013c463dc425b5,82,Nameless Randoms
3407,oe:team:0e99b04d101a93f6de17a4bf5de8b70,83,Atheris Esports
3454,oe:team:0ecfc77c8f5a9c17c1cea3296163dca,84,Umbra Divinus Gaming
3473,oe:team:0edc9f071bd123368afdc0c53a3db20,85,Galatasaray Esports
3595,oe:team:0efbfba0e842adbd975dbebaa4abacb,86,Rascal Jester Academy
3601,oe:team:0f0f407ca567fc73cc83d541ef45731,87,Fuego
3643,oe:team:0f1c217161a1486fff3abf544df2986,88,SuperMassive Blaze
3684,oe:team:0f426d6eead4f6ea73a5529581b61ad,89,LDM Mexico
3698,oe:team:0f4b99bef6a148e203e725bef554929,90,Hall of Fame
