,0
2752.0,254
2768.0,255
2770.0,256
2790.0,257
2796.0,258
2802.0,259
2805.0,260
2857.0,261
2862.0,262
2907.0,263
2973.0,264
2977.0,265
2983.0,266
2984.0,267
3140.0,268
3204.0,269
3263.0,270
3264.0,271
3316.0,272
3329.0,273
3377.0,274
3441.0,275
3512.0,276
3520.0,277
4747.0,278
4863.0,279
4902.0,280
4939.0,281
5016.0,282
5044.0,283
5047.0,284
5063.0,285
5192.0,286
5202.0,287
5217.0,288
5223.0,289
5233.0,290
5243.0,291
5247.0,292
5272.0,293
5440.0,294
5468.0,295
5610.0,296
5629.0,297
5631.0,298
5662.0,299
5686.0,300
5687.0,301
5693.0,302
5700.0,303
5703.0,304
5710.0,305
6771.0,306
6798.0,307
6800.0,308
6803.0,309
6824.0,310
6853.0,311
6864.0,312
6911.0,313
7206.0,314
7226.0,315
7334.0,316
7604.0,317
7683.0,318
8780.0,319
8881.0,320
8922.0,321
8925.0,322
8930.0,323
8932.0,324
8985.0,325
9079.0,326
9124.0,327
9128.0,328
9183.0,329
9203.0,330
9213.0,331
9307.0,332
10348.0,333
10491.0,334
10880.0,335
10950.0,336
10967.0,337
10984.0,338
11024.0,339
11027.0,340
11049.0,341
11052.0,342
11061.0,343
11242.0,344
11263.0,345
11285.0,346
11316.0,347
11317.0,348
11319.0,349
11320.0,350
11321.0,351
11323.0,352
11324.0,353
11327.0,354
11329.0,355
11332.0,356
11336.0,357
11349.0,358
11357.0,359
11496.0,360
11498.0,361
11555.0,362
11569.0,363
11576.0,364
11671.0,365
11685.0,366
11716.0,367
11726.0,368
11736.0,369
11743.0,370
11754.0,371
11758.0,372
11759.0,373
11760.0,374
11778.0,375
11788.0,376
11796.0,377
11798.0,378
11801.0,379
11827.0,380
11829.0,381
11833.0,382
11836.0,383
11840.0,384
11849.0,385
11851.0,386
11860.0,387
11863.0,388
11865.0,389
11876.0,390
11897.0,391
11901.0,392
12099.0,393
12209.0,394
12245.0,395
12246.0,396
12288.0,397
12318.0,398
12330.0,399
12371.0,400
12386.0,401
12405.0,402
12418.0,403
12431.0,404
12454.0,405
12473.0,406
12574.0,407
12692.0,408
12766.0,409
12985.0,410
13033.0,411
13034.0,412
13131.0,413
13191.0,414
13345.0,415
13423.0,416
13428.0,417
13471.0,418
13476.0,419
13518.0,420
13917.0,421
14039.0,422
14100.0,423
14487.0,424
14521.0,425
14533.0,426
14551.0,427
14557.0,428
14560.0,429
14593.0,430
14642.0,431
15403.0,432
15425.0,433
15662.0,434
15732.0,435
15905.0,436
15938.0,437
16199.0,438
16218.0,439
16230.0,440
16254.0,441
16292.0,442
16300.0,443
16323.0,444
16351.0,445
16362.0,446
16368.0,447
16387.0,448
16428.0,449
16475.0,450
16493.0,451
16636.0,452
16678.0,453
17233.0,454
17259.0,455
17276.0,456
17296.0,457
17299.0,458
17312.0,459
17319.0,460
17343.0,461
17361.0,462
17391.0,463
17480.0,464
17525.0,465
17528.0,466
17568.0,467
17600.0,468
17606.0,469
17620.0,470
17703.0,471
17711.0,472
17749.0,473
17761.0,474
17762.0,475
17806.0,476
17836.0,477
17848.0,478
17855.0,479
17866.0,480
17875.0,481
17883.0,482
17887.0,483
18164.0,484
18376.0,485
18384.0,486
18388.0,487
18395.0,488
18483.0,489
18500.0,490
18501.0,491
18506.0,492
18518.0,493
18520.0,494
18521.0,495
18533.0,496
18548.0,497
18549.0,498
18552.0,499
18558.0,500
18576.0,501
18590.0,502
18592.0,503
18628.0,504
18636.0,505
18653.0,506
18664.0,507
18673.0,508
18705.0,509
18733.0,510
18734.0,511
18784.0,512
18814.0,513
18816.0,514
18823.0,515
18848.0,516
18853.0,517
18859.0,518
18880.0,519
18904.0,520
18913.0,521
18923.0,522
18925.0,523
18945.0,524
19014.0,525
19020.0,526
19232.0,527
19243.0,528
19249.0,529
19264.0,530
19277.0,531
19281.0,532
19285.0,533
19297.0,534
19309.0,535
19310.0,536
19327.0,537
19344.0,538
19352.0,539
19353.0,540
19370.0,541
19372.0,542
19393.0,543
19403.0,544
19427.0,545
19434.0,546
19435.0,547
19436.0,548
19439.0,549
19446.0,550
19489.0,551
19511.0,552
19512.0,553
19515.0,554
19524.0,555
19531.0,556
19533.0,557
19674.0,558
19696.0,559
19908.0,560
20125.0,561
20174.0,562
20196.0,563
20241.0,564
20276.0,565
20325.0,566
20329.0,567
20396.0,568
20399.0,569
20401.0,570
20445.0,571
20446.0,572
20482.0,573
20645.0,574
20694.0,575
20720.0,576
20747.0,577
20771.0,578
20790.0,579
21123.0,580
21161.0,581
21164.0,582
21410.0,583
21414.0,584
21445.0,585
21446.0,586
21450.0,587
21458.0,588
21528.0,589
21613.0,590
21645.0,591
21657.0,592
21726.0,593
21751.0,594
21753.0,595
21765.0,596
21776.0,597
21785.0,598
21812.0,599
21834.0,600
21849.0,601
21853.0,602
21864.0,603
21914.0,604
21982.0,605
22045.0,606
22125.0,607
22128.0,608
22130.0,609
22131.0,610
22136.0,611
22139.0,612
22234.0,613
22283.0,614
22305.0,615
22313.0,616
22337.0,617
22355.0,618
22386.0,619
22418.0,620
22421.0,621
22427.0,622
22428.0,623
22434.0,624
22444.0,625
22514.0,626
22519.0,627
22535.0,628
22543.0,629
22544.0,630
22545.0,631
22706.0,632
22707.0,633
22764.0,634
22785.0,635
22822.0,636
22824.0,637
22831.0,638
22832.0,639
22894.0,640
22924.0,641
22928.0,642
22929.0,643
22952.0,644
22959.0,645
22962.0,646
22964.0,647
22969.0,648
22978.0,649
22982.0,650
22984.0,651
22988.0,652
22991.0,653
22994.0,654
22998.0,655
23007.0,656
23016.0,657
23019.0,658
23021.0,659
23022.0,660
23023.0,661
23025.0,662
23027.0,663
23030.0,664
23034.0,665
23036.0,666
23051.0,667
23054.0,668
23065.0,669
23069.0,670
23070.0,671
23072.0,672
23073.0,673
23074.0,674
23075.0,675
23080.0,676
23081.0,677
23083.0,678
23091.0,679
23093.0,680
23099.0,681
23104.0,682
23114.0,683
23115.0,684
23117.0,685
23127.0,686
23133.0,687
23134.0,688
23139.0,689
23141.0,690
23144.0,691
23147.0,692
23148.0,693
23151.0,694
23163.0,695
23170.0,696
23182.0,697
23185.0,698
23186.0,699
23187.0,700
23190.0,701
23193.0,702
23225.0,703
23249.0,704
23253.0,705
23254.0,706
23257.0,707
23264.0,708
23265.0,709
23268.0,710
23271.0,711
23275.0,712
23282.0,713
23283.0,714
23284.0,715
23285.0,716
