,0
1773,0
2033,1
4064,2
4087,3
4170,4
6269,5
6351,6
6367,7
6391,8
6403,9
6413,10
6421,11
6433,12
6547,13
6631,14
7788,15
7794,16
7819,17
7841,18
7842,19
7844,20
7869,21
7878,22
7943,23
8066,24
8121,25
8152,26
8165,27
8177,28
8178,29
8191,30
8194,31
8197,32
8203,33
8226,34
8234,35
8262,36
8277,37
8284,38
8295,39
8302,40
8305,41
8306,42
8315,43
8342,44
8344,45
8348,46
8350,47
8357,48
8358,49
8370,50
8371,51
8372,52
8388,53
8394,54
8398,55
8406,56
8426,57
8429,58
8455,59
8456,60
8457,61
8460,62
8462,63
8464,64
8466,65
8467,66
8472,67
8475,68
8479,69
8481,70
8483,71
8485,72
8521,73
8524,74
8525,75
8526,76
8528,77
8529,78
8530,79
8533,80
8534,81
8535,82
8537,83
8540,84
8543,85
8548,86
8549,87
8550,88
8551,89
8558,90
8559,91
8560,92
8564,93
8571,94
8573,95
8576,96
8581,97
8583,98
8586,99
8588,100
8592,101
8593,102
8596,103
8597,104
8600,105
8602,106
8603,107
8611,108
8613,109
8614,110
8633,111
8634,112
8635,113
8636,114
8639,115
8640,116
8649,117
8650,118
8654,119
8655,120
8658,121
8659,122
8661,123
8667,124
8668,125
8674,126
8678,127
8682,128
8686,129
8689,130
8690,131
8696,132
8697,133
8721,134
8722,135
9746,136
9747,137
9748,138
9761,139
9764,140
9765,141
9768,142
9771,143
9772,144
9773,145
9776,146
9783,147
9788,148
9789,149
9790,150
9791,151
9798,152
9800,153
9803,154
9804,155
9807,156
9809,157
9810,158
9817,159
9823,160
9825,161
9826,162
9827,163
9829,164
9830,165
9831,166
9836,167
9837,168
9839,169
9847,170
9850,171
9851,172
9853,173
9855,174
9857,175
9858,176
9860,177
9864,178
9865,179
9867,180
9868,181
9869,182
9873,183
9874,184
9875,185
9876,186
9878,187
9879,188
9880,189
9882,190
9885,191
9888,192
9891,193
9904,194
9905,195
9906,196
9908,197
9910,198
9911,199
9912,200
9925,201
9927,202
9938,203
9941,204
9976,205
9984,206
9985,207
9986,208
9987,209
9989,210
9991,211
9993,212
9994,213
9997,214
9998,215
9999,216
10000,217
10001,218
10003,219
10167,220
10172,221
10189,222
10194,223
10205,224
10211,225
10212,226
10214,227
10215,228
10217,229
10218,230
10219,231
10228,232
10229,233
10233,234
10235,235
10238,236
10242,237
10249,238
10251,239
10252,240
10260,241
10261,242
10264,243
10267,244
10268,245
10269,246
10278,247
10281,248
108893,249
158085,250
188163,251
208931,252
274581,253
